[------------------------------------------------------------------]
[                  Required connections Only List                  ]
[------------------------------------------------------------------]
[ Name                          | FaceIndex | ByteIndex | Binary   ]
[------------------------------------------------------------------]
[ BOTTOM_RIGHT_CORNER           | 27        | -63       | 11000001 ]
[ RIGHT_WITH_BOTTOM_DOT         | 5         | -59       | 11000101 ]
[ RIGHT                         | 19        | -57       | 11000111 ]
[ BOTTOM_WITH_RIGHT_DOT         | 14        | -47       | 11010001 ]
[ BOTTOM_RIGHT_DOTS             | 29        | -43       | 11010101 ]
[ RIGHT_DOTS                    | 43        | -41       | 11010111 ]
[ TOP_RIGHT_BOTTOM_LEFT_DOTS    | 45        | -35       | 11011101 ]
[ TOP_RIGHT_DOT                 | 30        | -33       | 11011111 ]
[ BOTTOM                        | 26        | -15       | 11110001 ]
[ BOTTOM_DOTS                   | 35        | -11       | 11110101 ]
[ BOTTOM_RIGHT_DOT              | 22        | -9        | 11110111 ]
[ BOTTOM_LEFT_DOT               | 23        | -3        | 11111101 ]
[ NO_SIDES                      | 18        | -1        | 11111111 ]
[ ALL_SIDES                     | 0         | 0         | 00000000 ]
[ NO_LEFT                       | 3         | 1         | 00000001 ]
[ NO_BOTTOM                     | 8         | 4         | 00000100 ]
[ TOP_RIGHT_CORNER_WITH_DOT     | 34        | 5         | 00000101 ]
[ TOP_RIGHT_CORNER              | 11        | 7         | 00000111 ]
[ NO_RIGHT                      | 1         | 16        | 00010000 ]
[ TOP_BOTTOM                    | 2         | 17        | 00010001 ]
[ TOP_LEFT_CORNER_WITH_DOT      | 32        | 20        | 00010100 ]
[ TOP_WITH_DOTS                 | 33        | 21        | 00010101 ]
[ TOP_WITH_RIGHT_DOT            | 6         | 23        | 00010111 ]
[ TOP_LEFT_CORNER               | 9         | 28        | 00011100 ]
[ TOP_WITH_LEFT_DOT             | 7         | 29        | 00011101 ]
[ TOP                           | 10        | 31        | 00011111 ]
[ NO_TOP                        | 24        | 64        | 01000000 ]
[ BOTTOM_RIGHT_CORNER_WITH_DOT  | 50        | 65        | 01000001 ]
[ LEFT_RIGHT                    | 16        | 68        | 01000100 ]
[ RIGHT_WITH_DOTS               | 42        | 69        | 01000101 ]
[ RIGHT_WITH_TOP_DOT            | 13        | 71        | 01000111 ]
[ BOTTOM_LEFT_CORNER_WITH_DOT   | 48        | 80        | 01010000 ]
[ BOTTOM_WITH_DOTS              | 49        | 81        | 01010001 ]
[ LEFT_WITH_DOTS                | 40        | 84        | 01010100 ]
[ ALL_DOTS                      | 41        | 85        | 01010101 ]
[ TOP_RIGHT_DOTS                | 21        | 87        | 01010111 ]
[ LEFT_WITH_TOP_DOT             | 12        | 92        | 01011100 ]
[ TOP_LEFT_DOTS                 | 20        | 93        | 01011101 ]
[ TOP_DOTS                      | 44        | 95        | 01011111 ]
[ BOTTOM_LEFT_CORNER            | 25        | 112       | 01110000 ]
[ BOTTOM_WITH_LEFT_DOT          | 15        | 113       | 01110001 ]
[ LEFT_WITH_BOTTOM_DOT          | 4         | 116       | 01110100 ]
[ BOTTOM_LEFT_DOTS              | 28        | 117       | 01110101 ]
[ TOP_LEFT_BOTTOM_RIGHT_DOTS    | 37        | 119       | 01110111 ]
[ LEFT                          | 17        | 124       | 01111100 ]
[ LEFT_DOTS                     | 36        | 125       | 01111101 ]
[------------------------------------------------------------------]


[------------------------------------------------------------------]
[    Required connections + Optional connections PowerSet List     ]
[------------------------------------------------------------------]
[ Name                          | FaceIndex | ByteIndex | Binary   ]
[------------------------------------------------------------------]
[ BOTTOM_RIGHT_CORNER           | 27        | -53       | 11001011 ]
[ BOTTOM_RIGHT_CORNER           | 27        | -21       | 11101011 ]
[ BOTTOM_RIGHT_CORNER           | 27        | -55       | 11001001 ]
[ BOTTOM_RIGHT_CORNER           | 27        | -23       | 11101001 ]
[ BOTTOM_RIGHT_CORNER           | 27        | -61       | 11000011 ]
[ BOTTOM_RIGHT_CORNER           | 27        | -29       | 11100011 ]
[ BOTTOM_RIGHT_CORNER           | 27        | -63       | 11000001 ]
[ BOTTOM_RIGHT_CORNER           | 27        | -31       | 11100001 ]
[ RIGHT_WITH_BOTTOM_DOT         | 5         | -51       | 11001101 ]
[ RIGHT_WITH_BOTTOM_DOT         | 5         | -19       | 11101101 ]
[ RIGHT_WITH_BOTTOM_DOT         | 5         | -59       | 11000101 ]
[ RIGHT_WITH_BOTTOM_DOT         | 5         | -27       | 11100101 ]
[ RIGHT                         | 19        | -49       | 11001111 ]
[ RIGHT                         | 19        | -17       | 11101111 ]
[ RIGHT                         | 19        | -57       | 11000111 ]
[ RIGHT                         | 19        | -25       | 11100111 ]
[ BOTTOM_WITH_RIGHT_DOT         | 14        | -37       | 11011011 ]
[ BOTTOM_WITH_RIGHT_DOT         | 14        | -39       | 11011001 ]
[ BOTTOM_WITH_RIGHT_DOT         | 14        | -45       | 11010011 ]
[ BOTTOM_WITH_RIGHT_DOT         | 14        | -47       | 11010001 ]
[ BOTTOM_RIGHT_DOTS             | 29        | -43       | 11010101 ]
[ RIGHT_DOTS                    | 43        | -41       | 11010111 ]
[ TOP_RIGHT_BOTTOM_LEFT_DOTS    | 45        | -35       | 11011101 ]
[ TOP_RIGHT_DOT                 | 30        | -33       | 11011111 ]
[ BOTTOM                        | 26        | -5        | 11111011 ]
[ BOTTOM                        | 26        | -7        | 11111001 ]
[ BOTTOM                        | 26        | -13       | 11110011 ]
[ BOTTOM                        | 26        | -15       | 11110001 ]
[ BOTTOM_DOTS                   | 35        | -11       | 11110101 ]
[ BOTTOM_RIGHT_DOT              | 22        | -9        | 11110111 ]
